152,1821934,5,1
61,1427822,5,2
111,1807862,5,1
9,2142281,2,1
0,61956,0,1
89,1803663,5,1
78,9196096,5,1
25,1805402,3,1
14,1809767,2,1
199,1810084,5,1
30,1800084,4,1
8,944043,1,1
137,1805857,5,1
0,1857735,0,4
31,70113,5,1
34,949216,5,4
0,469459,0,1
1,1858091,1,1
30,1918027,4,2
144,113549,5,1
1,1772464,1,1
143,1782745,5,1
88,2597644,5,1
109,1810120,5,1
4,545875,1,1
49,1809210,5,2
106,1802166,5,2
61,1812479,5,1
53,536524,5,1
76,1802766,5,1
37,1838737,5,1
55,2010689,5,1
9,1815411,2,2
19,1806909,3,3
25,1803015,3,3
36,1797646,5,2
9,1325786,2,1
18,1810059,3,1
184,1801860,5,1
4,1786759,1,1
37,1799985,5,2
44,18532,5,1
3,1491354,1,1
28,646438,4,1
74,1804234,5,1
147,1455794,5,1
10,1164010,2,1
0,278472,0,1
36,2020605,5,1
0,237019,0,1
6,3249,1,1
11,810536,2,1
0,2511466,0,1
15,1816967,2,1
2,1072246,1,1
19,1804521,3,3
101,1780107,5,1
4,1891403,1,1
193,1802363,5,3
29,1798611,4,1
25,874779,3,1
9,670116,2,1
30,1799060,4,2
10,38673,2,1
15,1807804,2,1
143,1801679,5,1
34,1814287,5,1
17,495113,2,2
36,1426936,5,1
35,1818982,5,1
2,748328,1,2
22,1817975,3,1
124,206947,5,1
0,1789620,0,1
21,1798067,3,1
5,2144844,1,1
82,1809747,5,1
190,1387827,5,1
129,1828844,5,1
12,1828240,2,1
18,591431,3,1
8,513773,1,1
25,2207058,3,3
16,1805578,2,2
40,1801839,5,2
8,1858738,1,1
19,1808237,3,1
7,1301716,1,1
11,43032,2,1
4,1585966,1,1
63,2454309,5,2
111,1825501,5,1
52,18107,5,1
188,1801038,5,1
2,538762,1,1
109,8103,5,1
14,10226126,2,1
65,224976,5,1
29,18877,4,1
55,2677,5,1
39,1800336,5,2
16,1803015,2,1
7,1812067,1,3
64,1810560,5,2
1,1544194,1,1
159,570376,5,1
49,1738008,5,1
37,188689,5,1
34,1775118,5,1
95,1379369,5,1
31,1803676,5,2
71,279371,5,1
5,1806448,1,1
74,1803210,5,2
0,1904971,0,1
87,1793832,5,1
54,944016,5,1
32,1801938,5,3
10,806277,2,2
125,1805102,5,1
46,1804051,5,1
120,1797726,5,1
19,803546,3,1
0,43003,0,1
41,1809109,5,1
6,82796,1,1
11,1799096,2,2
36,2071069,5,1
11,97389,2,1
69,1785238,5,1
9,1780466,2,1
52,316979,5,1
67,1789248,5,3
4,1799804,1,2
6,1798770,1,1
37,1857143,5,1
18,183162,3,1
8,19114,1,1
2,3929458,1,1
49,55481,5,1
35,1788316,5,1
14,742436,2,3
49,1809585,5,1
59,1801731,5,1
